gene_id,G85_A0,G85_B0,G85_C0,SD_SA,SD_SB,SD_SC,SLAD_SA,SLAD_SB,SLAD_SC,SD_LA,SD_LB,SD_LC,SLAD_LA,SLAD_LB,SLAD_LC,SD_GA,SD_GB,SD_GC,527LA,527LB,527LC,527SA,527SB,527SC,847LA,847LB,847LC,847SA,847SB,847SC,G85_D0,G85_E0,G85_F0,1066SA,1066SB,1066SC,1128SA,1128SB,1128SC,85A0b_2,85B0b,85C0b,1066LAb,1066LBb,1066LCb,1128LAb,1128LBb,1128LCb,G2432SA,G2432SB,G2432SC,G2434SA,G2434SB,G2434SC,G2468SA,G2468SB,G2468SC,G2432LA,G2432LB,G2432LC,G2434LA,G2434LB,G2434LC,G2468LA,G2468LB,G2468LC,G2300SA,G2300SB,G2300SC,G85SGSA,G85SGSB,G85SGSC,G2300LA,G2300LB,G2300LC,G85SGLA,G85SGLB,G85SGLC,G2529SA,G2529SB,G2529SC,G2529SGSA,G2529SGSB,G2529SGSC,G2529LA,G2529LB,G2529LC,G2529SGLA,G2529SGLB,G2529SGLC
YOR244W,10.3615,10.2586,10.2344,10.2853,10.2251,10.2083,10.4451,10.2153,10.3341,10.2796,9.9593,9.9616,10.9094,10.7840,10.6482,10.6105,9.9492,9.8547,10.6145,10.2333,10.4236,10.4534,10.4425,10.3873,10.6192,10.4560,10.5033,10.4362,10.5121,10.3962,10.4271,10.2720,10.3076,10.4708,10.4651,10.4727,10.3617,10.4157,10.2915,10.3713,10.5405,10.4638,10.5696,10.5934,10.4591,10.5055,10.6162,10.3146,10.3894,10.3671,10.3728,10.3727,10.4553,10.1715,10.6341,10.5385,10.5042,10.5895,10.6295,10.5986,10.4636,10.2088,10.3642,10.5199,10.5713,10.4792,10.1931,10.2843,10.2105,10.5921,10.4602,10.5652,10.6630,10.5176,10.9510,10.8953,10.5849,11.1908,10.2896,10.1597,10.3996,10.4723,10.5917,10.5077,9.9954,10.3715,10.4518,10.9335,10.9263,10.7152
YOR245C,11.4978,11.5176,11.4837,11.0001,10.9622,11.1172,10.7697,10.9279,10.8935,11.4718,11.4382,11.2757,11.5292,11.5130,11.6604,10.4465,11.3149,11.1837,11.2960,11.2621,11.4474,10.9018,10.8076,10.7405,11.2832,11.3273,11.4200,10.8881,10.9400,10.8641,11.2414,11.3695,11.4224,10.9738,10.9502,10.9846,11.2962,11.2361,11.1593,11.3762,11.3767,11.2877,11.2319,11.1906,11.1322,11.1316,11.2095,11.5099,11.3156,11.0642,11.2409,10.9239,11.1039,11.2061,10.9719,11.0108,11.2239,11.4265,11.4387,11.4151,11.3464,11.2756,11.2856,11.2478,11.2099,11.2793,11.0763,11.1069,11.1936,11.0232,11.1455,11.0535,11.2187,11.2525,11.1230,11.9320,12.1288,12.0148,10.9132,11.1232,10.9152,11.2719,11.2165,11.2934,11.4001,11.4330,11.3412,10.8160,11.3929,11.2416
YOR246C,13.0590,13.1110,13.0540,12.8957,12.8595,12.9113,12.7211,12.8127,12.8279,13.2786,13.3410,13.2188,12.4494,12.5106,12.6300,12.4892,13.0763,13.0659,13.0545,13.0218,13.1644,12.9520,12.9261,12.8797,12.9438,13.0666,13.0525,12.9167,12.9981,12.9245,12.9959,13.0629,13.0320,12.7312,12.6865,12.7125,12.8407,12.9201,12.8941,12.8693,12.6399,12.7162,12.9503,12.8328,12.8404,12.7847,12.6513,12.8300,12.7762,12.7985,12.7233,12.6153,12.6691,12.8013,12.7685,12.7579,12.7226,12.6854,12.8565,12.8141,12.8129,12.8629,12.8644,13.0159,12.9995,13.0620,12.9105,12.8456,12.9858,12.5318,12.3601,12.4498,13.0021,13.1037,12.8087,11.9511,12.0594,11.9808,12.8622,12.9351,12.8430,12.3482,12.4178,12.4551,13.2887,13.1356,13.0146,12.7886,12.9196,12.7813
YOR249C,8.5761,8.4388,8.5779,8.4587,8.4464,8.5674,8.5606,8.5641,8.6219,8.2411,8.2850,7.7216,7.9609,7.7811,7.9326,8.9291,7.5311,7.9515,8.6704,8.3176,8.5586,8.5661,8.5716,8.5253,8.5159,8.3245,8.5725,8.3862,8.2506,8.5347,8.3091,8.3806,8.3941,8.5969,8.7207,8.6534,8.6344,8.7338,8.4524,8.4015,8.4601,8.5583,8.7129,8.5780,8.6588,8.5288,8.4552,8.3187,8.7029,8.6737,8.8544,8.7719,8.7254,8.4949,8.8911,8.6907,8.7417,8.6269,8.5054,8.4694,8.7641,8.4251,8.6256,8.4963,8.7422,8.5343,8.4799,8.4835,8.5547,8.5580,8.8245,8.6545,8.7610,8.6306,8.8730,8.8674,8.8457,9.1627,8.5794,8.1980,8.4571,8.6477,8.5987,8.6112,8.1478,8.5160,8.3834,8.4859,8.8395,8.3959
YOR251C,11.5629,11.4630,11.3617,11.2079,11.2450,11.2926,11.0656,11.0795,11.1566,11.3726,11.5216,11.3325,11.7140,11.8155,11.8330,11.0025,11.5394,11.3925,11.1754,11.1569,11.2412,11.1166,11.1293,11.2315,11.1542,11.2362,11.2322,11.1818,11.2957,11.1596,11.2567,11.2332,11.3230,10.9374,11.0159,11.0485,11.1645,11.1743,11.1653,11.1716,10.7922,11.0046,10.9301,10.9374,10.8022,10.9812,10.8505,11.0048,11.0366,11.0088,11.0234,11.0384,11.0527,11.1259,10.9878,10.9070,10.9996,10.9502,11.1219,11.0150,11.1038,11.1223,11.1567,11.0382,11.1051,11.1114,11.0693,11.2301,11.3025,10.9287,11.0628,11.0736,10.9454,10.9383,10.7846,11.0700,11.1347,11.3078,11.1900,11.1947,11.2012,11.1057,11.0627,11.1201,11.1109,11.1557,11.2189,10.9660,11.1769,11.0224
YOR253W,11.8845,11.9443,12.0097,11.7421,11.8191,11.8179,11.7621,11.7919,11.8719,11.3273,11.1876,11.1283,10.4632,10.3604,10.1648,11.8266,11.1938,11.4219,11.0282,10.6974,10.5208,11.0716,11.0933,11.0833,10.8709,10.5934,10.7176,11.0009,10.7719,11.0213,11.7311,11.8858,11.9943,11.7360,11.7778,11.7516,12.0507,11.9986,11.7688,11.1730,11.0386,11.3158,11.5861,11.4595,11.3739,11.2901,11.5051,11.1101,11.7549,11.8385,11.8978,11.7452,11.7749,11.8102,11.7929,11.6239,11.6427,11.7207,11.7433,11.5283,11.6672,11.2417,11.2876,11.3091,11.4155,11.2633,11.8381,11.6744,11.6935,11.4629,11.3533,11.3327,11.4267,11.1679,11.6994,10.8399,10.6234,11.2974,11.8632,11.6566,11.8870,11.3120,11.6146,11.5016,10.9239,11.4095,11.4830,11.0003,11.0808,10.9743
YOR257W,9.9983,9.7249,9.9295,9.7644,9.8314,9.7539,10.1727,10.0952,10.2327,9.6623,9.6666,9.5030,9.8025,9.4063,9.5069,10.6507,9.1808,9.5124,9.8461,9.7985,9.6739,10.0351,9.9647,10.2514,9.9137,10.0346,9.8180,9.9538,9.8469,10.0970,9.9484,9.7610,9.7197,9.6377,9.6751,9.4237,9.8735,9.8146,9.7661,9.7751,9.7783,10.0008,9.6608,9.7105,9.6868,9.6716,9.7849,9.3006,9.9864,9.9954,9.8604,10.1011,9.8449,9.7191,10.2221,9.9624,10.0418,9.7576,9.8565,9.5814,9.4916,9.3135,9.3625,9.6948,9.7828,9.6278,9.6124,9.6224,9.7607,10.1756,10.3350,10.2495,9.8871,9.7222,10.1840,10.1722,10.0533,10.4825,9.6287,9.3274,9.6000,10.0788,10.2176,10.1152,9.4425,9.6122,9.7298,10.3059,10.2004,9.9682
YOR259C,12.5005,12.5056,12.6085,12.5747,12.5474,12.5799,12.6993,12.7189,12.7812,12.4194,12.4966,12.2700,13.1020,12.8226,12.7823,13.2512,11.8527,12.0317,12.7292,12.6595,12.6280,12.5387,12.6006,12.4915,12.7263,12.5918,12.6570,12.5212,12.5250,12.6675,12.8024,12.6904,12.6963,12.7182,12.7704,12.6555,12.8854,12.8744,12.8097,12.5588,12.6816,12.4915,12.8026,12.8781,12.7748,12.6777,12.6633,12.3085,13.0018,12.9943,13.0750,13.0168,12.9697,12.7549,12.9699,12.8365,12.8430,13.0245,13.0116,12.8596,12.8872,12.6595,12.8001,12.7594,12.6495,12.6653,12.4503,12.4295,12.5849,13.2001,13.2347,13.1790,12.8624,12.7681,13.1628,13.3079,13.0410,13.4634,12.3697,12.2191,12.4065,13.0362,13.1452,13.0271,12.3995,12.4891,12.5404,13.1145,13.0791,13.0034
YOR262W,11.3484,11.2699,11.2966,11.1532,11.3235,11.3807,11.3324,11.3204,11.3897,11.1165,11.0844,11.0056,11.0358,10.9077,10.9062,11.4019,10.8233,10.9729,11.0046,10.9700,10.8774,11.4209,11.3725,11.3667,10.9532,10.9473,10.8104,11.3452,11.2820,11.3934,11.4095,11.3908,11.4526,11.4243,11.4320,11.3879,11.6641,11.6789,11.5951,10.8984,10.7281,10.8439,11.0993,11.1202,11.0748,11.1669,11.0914,11.0020,11.0770,11.2898,11.2319,11.0946,11.1073,11.1186,11.2268,10.9870,10.7265,10.9216,10.9892,10.8935,10.9198,10.8861,10.9473,10.8980,10.9717,10.8449,11.2317,11.2603,11.3275,11.0697,11.0534,11.0318,10.9880,10.8617,10.9975,10.4003,10.4104,10.3639,11.3090,11.0952,11.2036,10.9924,11.0065,11.0696,10.9009,10.9694,10.9986,10.7498,10.8800,10.9218
YOR269W,10.0358,9.9443,9.9844,9.9776,9.8412,9.6343,9.5599,9.7373,9.6303,10.6146,10.7510,10.7288,10.5497,10.5853,10.6615,9.2987,10.6965,10.7191,10.1965,10.3250,10.4709,9.8433,9.8792,9.8631,10.1641,10.3259,10.2707,9.7295,9.9122,9.7338,9.5419,9.4838,9.7652,9.6875,9.7136,9.7688,9.8490,9.8163,9.7250,10.0807,9.8031,9.8084,9.9425,9.9981,9.9400,10.0907,9.5913,10.0567,9.1830,9.1563,9.0105,9.1975,9.2737,9.3540,9.6184,9.4063,9.5463,9.5822,9.6491,9.6156,9.8989,10.0903,9.9713,10.3104,10.2791,10.3618,9.9849,10.1005,10.0409,9.2298,9.1766,9.0412,10.2573,10.3135,9.8276,9.0641,9.4331,9.2075,10.0502,10.1769,9.8073,9.1502,9.2664,9.1846,10.1967,9.9853,10.0445,9.9113,9.8359,9.6203
