reaction_uid,model_reaction_id,reaction_name,model_equation,is_underground_rxn_prefix,crossref_status,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,rxndb_direct_match,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,usable_as_first_pass_training_label
MODEL_RXN:0000019,r_0023,2-isopropylmalate hydratase,s_0165 + s_0803 <=> s_0162,False,has_external_crossref,MNXR100826,R03968,IPPMIb,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000020,r_0024,2-isopropylmalate synthase,s_0232 + s_0373 + s_0803 --> s_0162 + s_0529 + s_0794,False,has_external_crossref,MNXR100879,R01213,IPPS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000021,r_0025,2-isopropylmalate synthase,s_0233 + s_0376 + s_0807 --> s_0164 + s_0532 + s_0799,False,has_external_crossref,MNXR100879,R01213,IPPSm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000022,r_0026,2-keto-4-methylthiobutyrate transamination,s_0294 + s_0991 --> s_0180 + s_1029,False,has_external_crossref,MNXR95923,R07396,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000023,r_0027,2-methylcitrate dehydratase,s_0834 <=> s_0454 + s_0807,False,has_external_crossref,MNXR141287,R03444,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000024,r_0028,2-methylcitrate synthase,s_0807 + s_1273 + s_1382 --> s_0174 + s_0532 + s_0799,False,has_external_crossref,MNXR101417,R00931,MCITSm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000025,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,s_0010 + s_0794 --> s_0291 + s_0456,False,has_external_crossref,MNXR102180,R01652,OMCDC,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000026,r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,s_0011 + s_0799 --> s_0292 + s_0460,False,has_external_crossref,MNXR102180,R01652,OMCDCm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000027,r_0032,"3',5'-bisphosphate nucleotidase",s_0390 + s_0803 --> s_0423 + s_1322,False,has_external_crossref,MNXR96321,R00188,BPNT,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000028,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",s_0192 + s_0803 --> s_0423 + s_0794,False,has_external_crossref,MNXR95886,R00191,PDE1,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000029,r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",s_0194 + s_0803 --> s_0584 + s_0794,False,has_external_crossref,MNXR136084,,PDE2,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000030,r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",s_0196 + s_0803 --> s_0794 + s_0849,False,has_external_crossref,MNXR136083,,PDE3,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000031,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",s_0195 + s_0803 --> s_0782 + s_0794,False,has_external_crossref,MNXR100078,R01234,PDE4,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000032,r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",s_0193 + s_0803 --> s_0526 + s_0794,False,has_external_crossref,MNXR136082,,PDE5,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000033,r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",s_0577 --> s_0158 + s_0722 + s_0794,False,has_external_crossref,MNXR97178,R07281,DB4PS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000034,r_0039,3-dehydroquinate dehydratase,s_0210 --> s_0211 + s_0803,False,has_external_crossref,MNXR97449,R03084,DHQTi,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000035,r_0040,3-dehydroquinate synthase,s_0349 --> s_0210 + s_1322,False,has_external_crossref,MNXR97447,R03083,DHQS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000036,r_0041,3-dehydrosphinganine reductase,s_0231 + s_0795 + s_1213 --> s_1208 + s_1445,False,has_external_crossref,MNXR94866,R02978,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000037,r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,s_0551 + s_0803 + s_1360 --> s_0349 + s_1322,False,has_external_crossref,MNXR97218,R01826,DDPA,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000038,r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",s_0215 + 0.5 s_1275 --> s_0212,False,has_external_crossref,MNXR110601,R06865,3OPHB5Hm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000039,r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,s_0214 + s_0799 --> s_0157 + s_0460,False,has_external_crossref,MNXR94901,R06866,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000040,r_0045,3-hydroxy-L-kynurenine hydrolase,s_0222 + s_0803 --> s_0224 + s_0794 + s_0955,False,has_external_crossref,MNXR100656,R02668,HKYNH,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000041,r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),s_0054 + s_1202 --> s_0257 + s_0801 + s_1206,False,has_external_crossref,MNXR100547,R04739,HACD6p,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000042,r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",s_0224 + s_1275 --> s_0147,False,has_external_crossref,MNXR94889,R02665,3HAO,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000043,r_0059,3-isopropylmalate 3-methyltransferase,s_0009 + s_1416 --> s_0217 + s_1413,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000044,r_0060,3-isopropylmalate dehydratase,s_0009 <=> s_0165 + s_0803,False,has_external_crossref,MNXR100827,R04001,IPPMIa,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000045,r_0061,3-isopropylmalate dehydrogenase,s_0009 + s_1198 --> s_0010 + s_0794 + s_1203,False,has_external_crossref,MNXR100878,R04426,IPMD,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000046,r_0062,3-methyl-2-oxobutanoate decarboxylase,s_0232 + s_0794 --> s_0456 + s_0937,False,has_external_crossref,MNXR94922,,3MOBDC,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000047,r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,s_0233 + s_0307 + s_0807 --> s_0150 + s_1488,False,has_external_crossref,MNXR101702,R01226,MTMOHT,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000048,r_0064,3-methyl-2-oxopentanoate decarboxylase,s_0056 + s_0794 --> s_0166 + s_0456,False,has_external_crossref,MNXR94925,R03894,3MOPDC,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000049,r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,s_0261 + s_1360 --> s_0324 + s_1322,False,has_external_crossref,MNXR103226,R03460,PSCVT,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000050,r_0066,4-amino-4-deoxychorismate synthase,s_0515 + s_0999 --> s_0269 + s_0991,False,has_external_crossref,MNXR95440,R01716,ADCS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000051,r_0067,4-aminobenzoate synthase,s_0269 --> s_0271 + s_0794 + s_1399,False,has_external_crossref,MNXR95436,R05553,ADCL,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000052,r_0068,4-aminobutyrate transaminase,s_0180 + s_0734 --> s_0991 + s_1461,False,has_external_crossref,MNXR95186,R01648,ABTA,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000053,r_0069,4-hydroxy-L-threonine synthase,s_0264 + s_0803 --> s_0285 + s_1322,False,has_external_crossref,MNXR95024,R05086,4HTHRS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000054,r_0070,4-hydroxybenzoate formation,s_0290 + s_0807 --> s_0287 + s_0532 + s_0799,False,has_external_crossref,MNXR95011,R01301,4HBZFm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000055,r_0072,4-methyl-2-oxopentanoate decarboxylase,s_0291 + s_0794 --> s_0234 + s_0456,False,has_external_crossref,MNXR137950,,4MOPDC,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
