reaction_uid,model_reaction_id,reaction_name,model_equation,is_underground_rxn_prefix,crossref_status,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,rxndb_direct_match,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,usable_as_first_pass_training_label
MODEL_RXN:0002109,r_2730,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3285 + s_3306 <=> s_3301 + s_3314,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002110,r_2731,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3285 + s_3307 <=> s_3303 + s_3314,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002111,r_2732,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3286 + s_3296 <=> s_3241 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002112,r_2733,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3286 + s_3298 <=> s_3241 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002113,r_2734,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3286 + s_3300 <=> s_3241 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002114,r_2735,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3286 + s_3302 <=> s_3241 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002115,r_2736,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3286 + s_3304 <=> s_3243 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002116,r_2737,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3286 + s_3305 <=> s_3243 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002117,r_2738,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3286 + s_3306 <=> s_3243 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002118,r_2739,"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3286 + s_3307 <=> s_3243 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002119,r_2740,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3287 + s_3296 <=> s_3245 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002120,r_2741,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3287 + s_3298 <=> s_3245 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002121,r_2742,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3287 + s_3300 <=> s_3245 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002122,r_2743,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3287 + s_3302 <=> s_3245 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002123,r_2744,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3287 + s_3304 <=> s_3297 + s_3315,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002124,r_2745,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3287 + s_3305 <=> s_3299 + s_3315,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002125,r_2746,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3287 + s_3306 <=> s_3301 + s_3315,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002126,r_2747,"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3287 + s_3307 <=> s_3303 + s_3315,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002127,r_2748,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3288 + s_3296 <=> s_3247 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002128,r_2749,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3288 + s_3298 <=> s_3247 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002129,r_2750,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3288 + s_3300 <=> s_3247 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002130,r_2751,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3288 + s_3302 <=> s_3247 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002131,r_2752,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3288 + s_3304 <=> s_3249 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002132,r_2753,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3288 + s_3305 <=> s_3249 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002133,r_2754,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3288 + s_3306 <=> s_3249 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002134,r_2755,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3288 + s_3307 <=> s_3249 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002135,r_2756,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3289 + s_3296 <=> s_3251 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002136,r_2757,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3289 + s_3298 <=> s_3251 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002137,r_2758,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3289 + s_3300 <=> s_3251 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002138,r_2759,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3289 + s_3302 <=> s_3251 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002139,r_2760,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3289 + s_3304 <=> s_3297 + s_3316,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002140,r_2761,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3289 + s_3305 <=> s_3299 + s_3316,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002141,r_2762,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3289 + s_3306 <=> s_3301 + s_3316,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002142,r_2763,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3289 + s_3307 <=> s_3303 + s_3316,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002143,r_2764,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3290 + s_3296 <=> s_3253 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002144,r_2765,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3290 + s_3298 <=> s_3253 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002145,r_2766,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3290 + s_3300 <=> s_3253 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002146,r_2767,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3290 + s_3302 <=> s_3253 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002147,r_2768,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3290 + s_3304 <=> s_3255 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002148,r_2769,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3290 + s_3305 <=> s_3255 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002149,r_2770,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3290 + s_3306 <=> s_3255 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002150,r_2771,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3290 + s_3307 <=> s_3255 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002151,r_2772,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3291 + s_3296 <=> s_3257 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002152,r_2773,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3291 + s_3298 <=> s_3257 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002153,r_2774,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3291 + s_3300 <=> s_3257 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002154,r_2775,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3291 + s_3302 <=> s_3257 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002155,r_2776,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3291 + s_3304 <=> s_3297 + s_3317,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002156,r_2777,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3291 + s_3305 <=> s_3299 + s_3317,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002157,r_2778,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3291 + s_3306 <=> s_3301 + s_3317,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002158,r_2779,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3291 + s_3307 <=> s_3303 + s_3317,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002159,r_2780,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3292 + s_3296 <=> s_3259 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002160,r_2781,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3292 + s_3298 <=> s_3259 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002161,r_2782,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3292 + s_3300 <=> s_3259 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002162,r_2783,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3292 + s_3302 <=> s_3259 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002163,r_2784,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3292 + s_3304 <=> s_3261 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002164,r_2785,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3292 + s_3305 <=> s_3261 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002165,r_2786,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3292 + s_3306 <=> s_3261 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002166,r_2787,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3292 + s_3307 <=> s_3261 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002167,r_2788,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3293 + s_3296 <=> s_3263 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002168,r_2789,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3293 + s_3298 <=> s_3263 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002169,r_2790,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3293 + s_3300 <=> s_3263 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002170,r_2791,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3293 + s_3302 <=> s_3263 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002171,r_2792,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3293 + s_3304 <=> s_3297 + s_3318,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002172,r_2793,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3293 + s_3305 <=> s_3299 + s_3318,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002173,r_2794,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3293 + s_3306 <=> s_3301 + s_3318,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002174,r_2795,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3293 + s_3307 <=> s_3303 + s_3318,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002175,r_2796,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3294 + s_3296 <=> s_3265 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002176,r_2797,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3294 + s_3298 <=> s_3265 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002177,r_2798,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3294 + s_3300 <=> s_3265 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002178,r_2799,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3294 + s_3302 <=> s_3265 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002179,r_2800,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3294 + s_3304 <=> s_3267 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002180,r_2801,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3294 + s_3305 <=> s_3267 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002181,r_2802,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3294 + s_3306 <=> s_3267 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002182,r_2803,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3294 + s_3307 <=> s_3267 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002183,r_2804,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3295 + s_3296 <=> s_3269 + s_3297,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002184,r_2805,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3295 + s_3298 <=> s_3269 + s_3299,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002185,r_2806,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3295 + s_3300 <=> s_3269 + s_3301,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002186,r_2807,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3295 + s_3302 <=> s_3269 + s_3303,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002187,r_2808,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3295 + s_3304 <=> s_3297 + s_3319,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002188,r_2809,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3295 + s_3305 <=> s_3299 + s_3319,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002189,r_2810,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3295 + s_3306 <=> s_3301 + s_3319,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002190,r_2811,"MLCL (1-16:1, 2-18:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3295 + s_3307 <=> s_3303 + s_3319,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002191,r_2812,"lysoPC acyltransferase (1-16:0, 2-16:1), mitochondrial membrane",s_3297 + s_3320 --> s_3296 + s_3321,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002192,r_2813,"lysoPC acyltransferase (1-16:0, 2-18:1), mitochondrial membrane",s_3297 + s_3322 --> s_3304 + s_3321,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002193,r_2814,"lysoPC acyltransferase (1-16:1, 2-16:1), mitochondrial membrane",s_3299 + s_3320 --> s_3298 + s_3321,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002194,r_2815,"lysoPC acyltransferase (1-16:1, 2-18:1), mitochondrial membrane",s_3299 + s_3322 --> s_3305 + s_3321,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0002195,r_2816,"lysoPC acyltransferase (1-18:0, 2-16:1), mitochondrial membrane",s_3301 + s_3320 --> s_3300 + s_3321,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
