reaction_uid,model_reaction_id,reaction_name,is_underground_rxn_prefix,model_equation,metanetx_reaction_id,kegg_reaction_id,kegg_pathway_ids,bigg_reaction_id,sbo_id,mnx_equation,mnx_reference,mnx_classifs,mnx_is_balanced,mnx_is_transport,crossref_status,notes
MODEL_RXN:0001121,r_1645,ADP transport,False,s_0394 <=> s_0395,MNXR95484,,,,SBO:0000655,1 MNXM40333@MNXD1 = 1 MNXM40333@MNXD2,seedR:rxn29320,,B,T,has_external_crossref,
MODEL_RXN:0001122,r_1647,"AKG transporter, peroxisome",False,s_0180 <=> s_0184,MNXR95663,,,AKGtp,SBO:0000655,1 MNXM20@MNXD1 = 1 MNXM20@MNXD2,seedR:rxn08096,,B,T,has_external_crossref,
MODEL_RXN:0001123,r_1648,allantoate exchange,False,s_0406 --> ,,,,EX_alltt_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001124,r_1649,allantoin exchange,False,s_0408 --> ,,,,EX_alltn_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001125,r_1650,trehalose exchange,False,s_1521 --> ,,,,EX_tre_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001126,r_1651,alpha-D-glucosamine 6-phosphate exchange,False,s_0413 --> ,,,,EX_gam6p_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001127,r_1652,alpha-ketoglutarate/malate transporter,False,s_0067 + s_0180 <=> s_0066 + s_0181,MNXR95659,,,AKGMAL,SBO:0000655,1 MNXM1107192@MNXD1 + 1 MNXM20@MNXD2 = 1 MNXM1107192@MNXD2 + 1 MNXM20@MNXD1,seedR:rxn09699,,B,T,has_external_crossref,
MODEL_RXN:0001128,r_1654,ammonium exchange,False,s_0420 <=> ,MNXR101948,,,EX_nh4_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001129,r_1656,AMP transport,False,s_0425 <=> s_0423,MNXR95830,,,AMPtn,SBO:0000655,1 MNXM728294@MNXD1 = 1 MNXM728294@MNXD2,seedR:rxn08134,,B,T,has_external_crossref,
MODEL_RXN:0001130,r_1657,arginine transport,False,s_0794 + s_0965 --> s_0799 + s_0967,MNXR95953,,,ARGt2m,SBO:0000655,1 MNXM01@MNXD1 + 1 MNXM739527@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM739527@MNXD2,seedR:rxn05303,,B,T,has_external_crossref,
MODEL_RXN:0001131,r_1658,asparagine transport,False,s_0969 --> s_0971,MNXR96069,,,ASNtm,SBO:0000655,1 MNXM1107821@MNXD1 = 1 MNXM1107821@MNXD2,seedR:rxn05220,,B,T,has_external_crossref,
MODEL_RXN:0001132,r_1659,aspartate-glutamate transporter,False,s_0973 + s_0995 <=> s_0976 + s_0991,MNXR96083,,,ASPGLUtp,SBO:0000655,1 MNXM1108206@MNXD1 + 1 MNXM741173@MNXD2 = 1 MNXM1108206@MNXD2 + 1 MNXM741173@MNXD1,seedR:rxn09865,,B,T,has_external_crossref,
MODEL_RXN:0001133,r_1660,ATP diffusion,False,s_0434 <=> s_0438,MNXR96140,,,ATPtn,SBO:0000655,1 MNXM3@MNXD1 = 1 MNXM3@MNXD2,seedR:rxn29318,,B,T,has_external_crossref,
MODEL_RXN:0001134,r_1661,ATP transport,False,s_0434 <=> s_0435,MNXR96140,,,,SBO:0000655,1 MNXM3@MNXD1 = 1 MNXM3@MNXD2,seedR:rxn29318,,B,T,has_external_crossref,
MODEL_RXN:0001135,r_1663,bicarbonate exchange,False,s_0446 --> ,MNXR100483,,,EX_hco3_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001136,r_1664,bicarbonate formation,False,s_0460 + s_0807 <=> s_0447 + s_0799,MNXR100482,R00132,,HCO3Em,SBO:0000176,1 MNXM13@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM60@MNXD1,rheaR:10748,4.2.1.1,B,,has_external_crossref,
MODEL_RXN:0001137,r_1665,bicarbonate formation,False,s_0461 + s_0808 <=> s_0448 + s_0800,MNXR100482,R00132,,HCO3En,SBO:0000176,1 MNXM13@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM60@MNXD1,rheaR:10748,4.2.1.1,B,,has_external_crossref,
MODEL_RXN:0001138,r_1667,bicarbonate formation,False,s_0456 + s_0803 <=> s_0445 + s_0794,MNXR100482,R00132,,HCO3E,SBO:0000176,1 MNXM13@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM60@MNXD1,rheaR:10748,4.2.1.1,B,,has_external_crossref,
MODEL_RXN:0001139,r_1668,bicarbonate formation,False,s_0458 + s_0805 <=> s_0446 + s_0796,MNXR100482,R00132,,HCO3Ee,SBO:0000176,1 MNXM13@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM60@MNXD1,rheaR:10748,4.2.1.1,B,,has_external_crossref,
MODEL_RXN:0001140,r_1669,bicarbonate transport,False,s_0445 <=> s_0448,MNXR100484,,,HCO3tn,SBO:0000655,1 MNXM60@MNXD1 = 1 MNXM60@MNXD2,rheaR:28695,,B,T,has_external_crossref,
MODEL_RXN:0001141,r_1671,biotin exchange,False,s_0452 --> ,,,,EX_btn_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001142,r_1672,carbon dioxide exchange,False,s_0458 --> ,,,,EX_co2_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001143,r_1673,carnitine transport,False,s_0021 --> s_0024,MNXR96906,,,CRNtp,SBO:0000655,1 MNXM1105737@MNXD1 = 1 MNXM1105737@MNXD2,rheaR:34959,,B,T,has_external_crossref,
MODEL_RXN:0001144,r_1674,carnitine-acetylcarnitine carrier,False,s_0021 + s_1237 --> s_0024 + s_1235,MNXR96898,,,CRNCARtp,SBO:0000655,1 MNXM1105737@MNXD1 + 1 MNXM726103@MNXD2 = 1 MNXM1105737@MNXD2 + 1 MNXM726103@MNXD1,rheaR:49908,,B,T,has_external_crossref,
MODEL_RXN:0001145,r_1675,CDP transport,False,s_0467 <=> s_0468,MNXR96562,,,CDPtn,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001146,r_1676,ceramide transport,False,s_0476 <=> s_0475,MNXR137412,,,,SBO:0000655,1 MNXM64020@MNXD1 = 1 MNXM64020@MNXD2,seedR:rxn13235,,B,T,has_external_crossref,
MODEL_RXN:0001147,r_1677,ceramide transport,False,s_0482 <=> s_0481,MNXR137414,,,,SBO:0000655,1 MNXM64019@MNXD1 = 1 MNXM64019@MNXD2,seedR:rxn13237,,B,T,has_external_crossref,
MODEL_RXN:0001148,r_1678,ceramide transport,False,s_0500 <=> s_0499,,,,,SBO:0000655,,,,,,model_only_no_external_crossref,
MODEL_RXN:0001149,r_1679,ceramide transport,False,s_0479 <=> s_0478,MNXR137413,,,,SBO:0000655,1 MNXM63798@MNXD1 = 1 MNXM63798@MNXD2,seedR:rxn13236,,B,T,has_external_crossref,
MODEL_RXN:0001150,r_1680,ceramide transport,False,s_0485 <=> s_0484,MNXR137415,,,,SBO:0000655,1 MNXM63797@MNXD1 = 1 MNXM63797@MNXD2,seedR:rxn13238,,B,T,has_external_crossref,
MODEL_RXN:0001151,r_1681,ceramide transport,False,s_0503 <=> s_0502,,,,,SBO:0000655,,,,,,model_only_no_external_crossref,
MODEL_RXN:0001152,r_1682,"cholestenol delta-isomerase, lumped reaction",False,s_1275 + s_1416 + s_1569 --> s_0662 + s_0794 + 2 s_0803 + s_1413,MNXR96688,,,CHLSTI,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001153,r_1683,choline exchange,False,s_0513 --> ,,,,EX_chol_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001154,r_1684,choline transport,False,s_0511 <=> s_0512,MNXR96693,,,,SBO:0000655,1 MNXM90@MNXD1 = 1 MNXM90@MNXD2,rheaR:32751,,B,T,has_external_crossref,
MODEL_RXN:0001155,r_1685,chorismate pyruvate lyase,False,s_0515 --> s_0286 + s_1399,MNXR96711,R01302,,CHRPL,SBO:0000176,1 MNXM164@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM337@MNXD1,rheaR:16505,4.1.3.40,B,,has_external_crossref,
MODEL_RXN:0001156,r_1686,citrate transport,False,s_0523 <=> s_0522,MNXR96756,,,,SBO:0000655,1 MNXM1107753@MNXD1 = 1 MNXM1107753@MNXD2,rheaR:33183,,B,T,has_external_crossref,
MODEL_RXN:0001157,r_1687,citrate exchange,False,s_0523 --> ,,,,EX_cit_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001158,r_1688,citrate/isocitrate antiport,False,s_0522 + s_0942 <=> s_0525 + s_0940,MNXR96755,,,CITtcp,SBO:0000655,1 MNXM1107753@MNXD1 + 1 MNXM89661@MNXD2 = 1 MNXM1107753@MNXD2 + 1 MNXM89661@MNXD1,seedR:rxn09777,,B,T,has_external_crossref,
MODEL_RXN:0001159,r_1689,citrate/malate antiport,False,s_0066 + s_0525 <=> s_0069 + s_0522,MNXR96753,,,CITtap,SBO:0000655,1 MNXM1107192@MNXD1 + 1 MNXM1107753@MNXD2 = 1 MNXM1107192@MNXD2 + 1 MNXM1107753@MNXD1,seedR:rxn09779,,B,T,has_external_crossref,
MODEL_RXN:0001160,r_1690,CMP nucleosidase,False,s_0526 + s_0803 --> s_0545 + s_1408,MNXR96804,,,CMPN,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001161,r_1691,CO2 transport,False,s_0456 <=> s_0457,MNXR96810,,,CO2ter,SBO:0000655,1 MNXM13@MNXD1 = 1 MNXM13@MNXD2,seedR:rxn05467,,B,T,has_external_crossref,
MODEL_RXN:0001162,r_1694,CO2 transport,False,s_0461 <=> s_0456,MNXR96810,,,CO2tn,SBO:0000655,1 MNXM13@MNXD1 = 1 MNXM13@MNXD2,seedR:rxn05467,,B,T,has_external_crossref,
MODEL_RXN:0001163,r_1695,CO2 transport,False,s_0456 <=> s_0462,MNXR96810,,,CO2tp,SBO:0000655,1 MNXM13@MNXD1 = 1 MNXM13@MNXD2,seedR:rxn05467,,B,T,has_external_crossref,
MODEL_RXN:0001164,r_1696,CO2 transport,False,s_0456 <=> s_0460,MNXR96810,,,CO2tm,SBO:0000655,1 MNXM13@MNXD1 = 1 MNXM13@MNXD2,seedR:rxn05467,,B,T,has_external_crossref,
MODEL_RXN:0001165,r_1697,CO2 transport,False,s_0456 <=> s_0458,MNXR96810,,,CO2t,SBO:0000655,1 MNXM13@MNXD1 = 1 MNXM13@MNXD2,seedR:rxn05467,,B,T,has_external_crossref,
MODEL_RXN:0001166,r_1698,coenzyme A transport,False,s_0529 <=> s_0530,MNXR96815,,,COAtr,SBO:0000655,1 MNXM727276@MNXD1 = 1 MNXM727276@MNXD2,seedR:rxn10832,,B,T,has_external_crossref,
MODEL_RXN:0001167,r_1699,coenzyme A transport,False,s_0529 <=> s_0533,MNXR96815,,,COAtn,SBO:0000655,1 MNXM727276@MNXD1 = 1 MNXM727276@MNXD2,seedR:rxn10832,,B,T,has_external_crossref,
MODEL_RXN:0001168,r_1700,coenzyme A transport,False,s_0534 <=> s_0529,MNXR96815,,,COAtp,SBO:0000655,1 MNXM727276@MNXD1 = 1 MNXM727276@MNXD2,seedR:rxn10832,,B,T,has_external_crossref,
MODEL_RXN:0001169,r_1702,cytidine exchange,False,s_0544 --> ,,,,EX_cytd_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001170,r_1703,cytidylate kinase (CMP),False,s_0434 + s_0526 --> s_0394 + s_0467,MNXR97047,R00512,,CYTK1,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001171,r_1704,cytidylate kinase (dCMP),False,s_0434 + s_0589 <=> s_0394 + s_0587,MNXR97053,R01665,,CYTK2,SBO:0000176,1 MNXM266@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM40333@MNXD1 + 1 MNXM411@MNXD1,rheaR:25094,2.7.4.13;2.7.4.14;2.7.4.25,B,,has_external_crossref,
MODEL_RXN:0001172,r_1705,cytosine exchange,False,s_0546 --> ,,,,EX_csn_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001173,r_1706,D-arabinose exchange,False,s_0549 --> ,,,,EX_arab__D_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001174,r_1707,D-arabinose transport,False,s_0549 <=> s_0548,,,,ARAB_Dt,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001175,r_1708,D-erythrose 4-phosphate transport,False,s_0551 <=> s_0552,MNXR97843,,,E4Ptm,SBO:0000655,1 MNXM258@MNXD1 = 1 MNXM258@MNXD2,seedR:rxn09765,,B,T,has_external_crossref,
MODEL_RXN:0001176,r_1709,D-fructose exchange,False,s_0554 --> ,,,,EX_fru_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001177,r_1710,D-galactose exchange,False,s_0559 --> ,MNXR113944,R10619,,EX_gal_e,SBO:0000627,1 MNXM1108175@MNXD1 = 1 MNXM1108176@MNXD1,keggR:R10619,5.1.3.3,B,,has_external_crossref,
MODEL_RXN:0001178,r_1711,D-galacturonate exchange,False,s_0560 --> ,,,,EX_galur_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001179,r_1712,D-glucitol exchange,False,s_0562 --> ,,,,EX_sbt__D_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001180,r_1713,D-glucosamine 6-phosphate uniport,False,s_0413 <=> s_0412,,,,GAM6Pt,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001181,r_1714,D-glucose exchange,False,s_0565 <=> ,MNXR138465,,,EX_glc__D_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001182,r_1715,D-mannose exchange,False,s_0572 --> ,,,,EX_man_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001183,r_1716,D-ribose exchange,False,s_0576 --> ,,,,EX_rib__D_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001184,r_1717,D-sorbitol transport,False,s_0562 <=> s_0561,MNXR104288,,,SBT_Dt,SBO:0000655,1 MNXM736685@MNXD1 = 1 MNXM736685@MNXD2,seedR:rxn09243,,B,T,has_external_crossref,
MODEL_RXN:0001185,r_1718,D-xylose exchange,False,s_0579 --> ,,,,EX_xyl__D_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001186,r_1719,D-xylose transport,False,s_0579 <=> s_0578,,,,XYLt,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001187,r_1720,dADP transport,False,s_0582 <=> s_0583,MNXR97082,,,DADPtn,SBO:0000655,1 MNXM735047@MNXD1 = 1 MNXM735047@MNXD2,seedR:rxn09820,,B,T,has_external_crossref,
MODEL_RXN:0001188,r_1721,dCDP transport,False,s_0587 <=> s_0588,MNXR97182,,,DCDPtn,SBO:0000655,1 MNXM411@MNXD1 = 1 MNXM411@MNXD2,seedR:rxn09819,,B,T,has_external_crossref,
MODEL_RXN:0001189,r_1722,ATP deamination,False,s_0434 + s_0794 + s_0803 --> s_0419 + s_0950,MNXR96130,R00088,,ATPHs,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001190,r_1723,dATP deamination,False,s_0586 + s_0794 + s_0803 --> s_0419 + s_0639,MNXR97174,,,DATPHs,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001191,r_1724,ADP deamination,False,s_0394 + s_0794 + s_0803 --> s_0419 + s_0846,MNXR106399,R00123,,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001192,r_1725,dADP deamination,False,s_0582 + s_0794 + s_0803 --> s_0419 + s_0618,,,,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0001193,r_1726,deamino-NAD+ diffusion,False,s_0591 <=> s_0593,MNXR97625,,,DNADtn,SBO:0000655,1 MNXM1103300@MNXD1 = 1 MNXM1103300@MNXD2,biggR:DNADtn,,B,T,has_external_crossref,
MODEL_RXN:0001194,r_1727,decanoate exchange,False,s_0597 --> ,,,,EX_dca_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001195,r_1728,deoxyadenosine transport,False,s_0133 --> s_0132,MNXR97081,,,DADNt4,SBO:0000655,1 MNXM625@MNXD1 = 1 MNXM625@MNXD2,seedR:rxn08293,,B,T,has_external_crossref,
MODEL_RXN:0001196,r_1729,deoxyadenylate kinase,False,s_0434 + s_0584 <=> s_0394 + s_0582,MNXR96117,R01547,,DADK,SBO:0000176,1 MNXM3@MNXD1 + 1 MNXM432@MNXD1 = 1 MNXM40333@MNXD1 + 1 MNXM735047@MNXD1,rheaR:23100,2.7.4.11;2.7.4.13;2.7.4.3;2.7.4.4,B,,has_external_crossref,
MODEL_RXN:0001197,r_1730,deoxycytidine exchange,False,s_0611 --> ,,,,EX_dcyt_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001198,r_1731,deoxycytidine transport,False,s_0611 --> s_0610,MNXR97208,,,DCYTt,SBO:0000655,1 MNXM704@MNXD1 = 1 MNXM704@MNXD2,seedR:rxn08317,,B,T,has_external_crossref,
MODEL_RXN:0001199,r_1732,deoxyguanosine transport,False,s_0135 --> s_0134,MNXR97324,,,DGSNt,SBO:0000655,1 MNXM647@MNXD1 = 1 MNXM647@MNXD2,seedR:rxn08324,,B,T,has_external_crossref,
MODEL_RXN:0001200,r_1733,deoxyinosine transport,False,s_0137 --> s_0136,MNXR97466,,,DINt,SBO:0000655,1 MNXM935@MNXD1 = 1 MNXM935@MNXD2,seedR:rxn08344,,B,T,has_external_crossref,
MODEL_RXN:0001201,r_1734,deoxyuridine kinase (ATP:deoxyuridine),False,s_0138 + s_0434 --> s_0394 + s_0654 + s_0794,MNXR97817,R02099,,DURIK1,SBO:0000176,1 MNXM1@MNXD1 + 1 MNXM234@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM492@MNXD1,rheaR:28206,2.7.1.145;2.7.1.21,B,,has_external_crossref,
MODEL_RXN:0001202,r_1735,deoxyuridine transport,False,s_0139 --> s_0138,MNXR97819,,,DURIt,SBO:0000655,1 MNXM492@MNXD1 = 1 MNXM492@MNXD2,seedR:rxn08377,,B,T,has_external_crossref,
MODEL_RXN:0001203,r_1736,dephospho-CoA kinase,False,s_0197 + s_0434 --> s_0394 + s_0529 + s_0794,MNXR97762,R00130,,DPCOAK,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001204,r_1737,dGDP transport,False,s_0613 <=> s_0614,MNXR97314,,,DGDPtn,SBO:0000655,1 MNXM436@MNXD1 = 1 MNXM436@MNXD2,seedR:rxn09818,,B,T,has_external_crossref,
MODEL_RXN:0001205,r_1738,dhnpt transport,False,s_0343 <=> s_0344,,,,DHNPTtm,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001206,r_1739,diamine transaminase,False,s_0373 + s_1442 --> s_0529 + s_0794 + s_1181,MNXR97455,,,DIAT,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001207,r_1743,dihydrofolate transport,False,s_0625 <=> s_0626,MNXR97404,,,DHFtm,SBO:0000655,1 MNXM281@MNXD1 = 1 MNXM281@MNXD2,seedR:rxn09770,,B,T,has_external_crossref,
MODEL_RXN:0001208,r_1744,dihydroneopterin triphosphate pyrophosphatase,False,s_0346 + s_0803 --> s_0345 + s_0633 + s_0794,MNXR97680,R04638,,DNTPPA,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001209,r_1745,dihydropteroate transport,False,s_0347 <=> s_0348,MNXR142733,,,DHPTtm,SBO:0000655,1 MNXM722728@MNXD1 = 1 MNXM722728@MNXD2,seedR:rxn09768,,B,T,has_external_crossref,
MODEL_RXN:0001210,r_1746,dihydroxyacetone phosphate transport,False,s_0632 <=> s_0629,MNXR97366,,,DHAPtm,SBO:0000655,1 MNXM77@MNXD1 = 1 MNXM77@MNXD2,seedR:rxn09771,,B,T,has_external_crossref,
MODEL_RXN:0001211,r_1747,diphosphate transport,False,s_0633 <=> s_0638,MNXR103112,,,PPItx,SBO:0000655,1 MNXM11@MNXD1 = 1 MNXM11@MNXD2,seedR:rxn29733,,B,T,has_external_crossref,
MODEL_RXN:0001212,r_1748,dolichol phosphate transport,False,s_0645 <=> s_0646,,,,DOLP_ter,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001213,r_1749,dTTP exchange,False,s_0651 --> ,,,,EX_dttp_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001214,r_1750,dTTP uniport,False,s_0651 <=> s_0650,MNXR97810,,,DTTPt,SBO:0000655,1 MNXM394@MNXD1 = 1 MNXM394@MNXD2,seedR:rxn09686,,B,T,has_external_crossref,
MODEL_RXN:0001215,r_1751,dUDP diffusion,False,s_0652 <=> s_0653,MNXR97812,,,DUDPtn,SBO:0000655,1 MNXM572@MNXD1 = 1 MNXM572@MNXD2,seedR:rxn29332,,B,T,has_external_crossref,
MODEL_RXN:0001216,r_1752,dUMP transport,False,s_0654 <=> s_0655,MNXR97813,,,DUMPtn,SBO:0000655,1 MNXM234@MNXD1 = 1 MNXM234@MNXD2,seedR:rxn08375,,B,T,has_external_crossref,
MODEL_RXN:0001217,r_1753,episterol exchange,False,s_0659 --> ,,,,EX_epist_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001218,r_1754,"ergosta-5,6,22,24,(28)-tetraen-3beta-ol transport",False,s_0662 <=> s_0663,MNXR97951,,,ERGTETROLter,SBO:0000655,1 MNXM1109@MNXD1 = 1 MNXM1109@MNXD2,seedR:rxn09645,,B,T,has_external_crossref,
MODEL_RXN:0001219,r_1757,ergosterol exchange,False,s_0668 --> ,,,,EX_ergst_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001220,r_1758,ergosterol transport,False,s_0667 <=> s_0666,MNXR97950,,,ERGSTter,SBO:0000655,1 MNXM741449@MNXD1 = 1 MNXM741449@MNXD2,seedR:rxn09646,,B,T,has_external_crossref,
MODEL_RXN:0001221,r_1759,ergosterol transport,False,s_0666 <=> s_0669,MNXR97950,,,,SBO:0000655,1 MNXM741449@MNXD1 = 1 MNXM741449@MNXD2,seedR:rxn09646,,B,T,has_external_crossref,
MODEL_RXN:0001222,r_1761,ethanol exchange,False,s_0681 --> ,,,,EX_etoh_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001223,r_1762,ethanol transport,False,s_0680 <=> s_0681,MNXR97980,,,ETOHt,SBO:0000655,1 MNXM1108092@MNXD1 = 1 MNXM1108092@MNXD2,rheaR:35267,,B,T,has_external_crossref,
MODEL_RXN:0001224,r_1763,"ethanol transport, mitochondrial",False,s_0680 <=> s_0682,MNXR97980,,,ETOHtm,SBO:0000655,1 MNXM1108092@MNXD1 = 1 MNXM1108092@MNXD2,rheaR:35267,,B,T,has_external_crossref,
MODEL_RXN:0001225,r_1764,ethanolamine exchange,False,s_0684 --> ,,,,EX_etha_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001226,r_1765,ethyl acetate exchange,False,s_0686 --> ,,,,,SBO:0000627,,,,,,model_only_no_external_crossref,
MODEL_RXN:0001227,r_1766,farnesyl diphosphate transport,False,s_0190 <=> s_0191,MNXR99646,,,FRDPtm,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001228,r_1770,fatty acid transport,False,s_0595 <=> s_0600,MNXR135772,,,FA100tp,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001229,r_1771,fatty acid transport,False,s_1065 <=> s_1070,MNXR135773,,,FA120tp,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001230,r_1772,fatty acid transport,False,s_1161 <=> s_1166,MNXR128297,,,FA140tp,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001231,r_1774,fatty acid transport,False,s_1286 <=> s_1291,MNXR99101,,,FA160tp,SBO:0000655,1 MNXM108@MNXD1 = 1 MNXM108@MNXD2,rheaR:45256,,B,T,has_external_crossref,
MODEL_RXN:0001232,r_1775,fatty acid transport,False,s_1293 <=> s_1298,,,,FA161tp,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001233,r_1776,fatty acid transport,False,s_1248 <=> s_1253,MNXR99126,,,FA80tp,SBO:0000655,1 MNXM750@MNXD1 = 1 MNXM750@MNXD2,rheaR:29759,,B,T,has_external_crossref,
MODEL_RXN:0001234,r_1777,myristate (n-C14:0) transport,False,s_1163 <=> s_1161,MNXR128297,,,TTDCAtr,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001235,r_1788,fecosterol exchange,False,s_0702 --> ,,,,EX_fecost_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001236,r_1790,FMN adenylyltransferase,False,s_0437 + s_0716 + s_0799 --> s_0636 + s_0688,MNXR95501,R00161,,FMNATm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001237,r_1791,FMN exchange,False,s_0715 --> ,,,,EX_fmn_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001238,r_1792,folic acid exchange,False,s_0720 --> ,,,,EX_fol_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001239,r_1793,formate exchange,False,s_0723 --> ,,,,EX_for_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001240,r_1794,formate transport,False,s_0724 --> s_0722,MNXR99620,,,FORtm,SBO:0000655,1 MNXM39@MNXD1 = 1 MNXM39@MNXD2,rheaR:29679,,B,T,has_external_crossref,
MODEL_RXN:0001241,r_1795,formate transport,False,s_0723 <=> s_0722,MNXR99620,,,FORt,SBO:0000655,1 MNXM39@MNXD1 = 1 MNXM39@MNXD2,rheaR:29679,,B,T,has_external_crossref,
MODEL_RXN:0001242,r_1796,formate transport,False,s_0726 <=> s_0725,MNXR99715,,,FUMtr,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001243,r_1797,fructose-1-phosphate kinase,False,s_0434 + s_0556 --> s_0394 + s_0555 + s_0794,,,,FRUK,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0001244,r_1798,fumarate exchange,False,s_0726 --> ,,,,EX_fum_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001245,r_1800,gamma-aminobutyrate exchange,False,s_0736 --> ,,,,EX_4abut_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001246,r_1801,GDP transport,False,s_0740 <=> s_0739,MNXR100096,,,GDPtg,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001247,r_1802,GDP transport,False,s_0739 <=> s_0742,MNXR100096,,,GDPtn,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001248,r_1803,GDP-alpha-D-mannose transport,False,s_0743 <=> s_0744,MNXR131177,,,,SBO:0000655,1 MNXM1104188@MNXD1 = 1 MNXM1104188@MNXD2,seedR:rxn29906,,B,T,has_external_crossref,
MODEL_RXN:0001249,r_1805,"glucose transport, vacuolar",False,s_0563 <=> s_0566,MNXR100188,,,GLCtv,SBO:0000655,,,,,,has_external_crossref,
MODEL_RXN:0001250,r_1806,glutathione disulfide exchange,False,s_0755 --> ,,,,EX_gthox_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001251,r_1807,glutathione exchange,False,s_0751 --> ,,,,EX_gthrd_e,SBO:0000627,,,,,,has_external_crossref,
MODEL_RXN:0001252,r_1808,glycerol exchange,False,s_0766 --> ,,,,EX_glyc_e,SBO:0000627,,,,,,has_external_crossref,
