reaction_uid,model_reaction_id,reaction_name,is_underground_rxn_prefix,model_equation,metanetx_reaction_id,kegg_reaction_id,kegg_pathway_ids,bigg_reaction_id,sbo_id,mnx_equation,mnx_reference,mnx_classifs,mnx_is_balanced,mnx_is_transport,crossref_status,notes
MODEL_RXN:0000016,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,False,s_0552 + s_0807 + s_1361 --> s_0350 + s_1326,MNXR97218,R01826,sce00400|sce01110|sce01130|sce01230,DDPAm,SBO:0000176,1 MNXM1219@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM258@MNXD1 + 1 MNXM73@MNXD1 + 1 WATER@MNXD1,rheaR:14717,2.5.1.54;2.5.1.55;4.1.2.15,B,,has_external_crossref,
MODEL_RXN:0000017,r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",False,s_0155 + s_1419 --> s_0156 + s_0799 + s_1415,MNXR109269,R04983,sce00130|sce01110,2HPMBQMTm,SBO:0000176,1 MNXM1102072@MNXD1 + 1 MNXM6707@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM6067@MNXD1,seedR:rxn03391,2.1.1.201,B,,has_external_crossref,
MODEL_RXN:0000018,r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,False,s_0157 + s_1278 --> s_0155 + s_0807,MNXR109268,R04982,sce00130|sce01110,2HP6MPMOm,SBO:0000176,1 MNXM4291@MNXD1 + 1 MNXM735438@MNXD1 = 1 MNXM6707@MNXD1 + 1 WATER@MNXD1,seedR:rxn03390,1.14.13.-,B,,has_external_crossref,
MODEL_RXN:0000019,r_0023,2-isopropylmalate hydratase,False,s_0165 + s_0803 <=> s_0162,MNXR100826,R03968,sce00290|sce01110|sce01210|sce01230,IPPMIb,SBO:0000176,1 MNXM1706@MNXD1 + 1 WATER@MNXD1 = 1 MNXM730929@MNXD1,rheaR:16293,4.2.1.33,B,,has_external_crossref,
MODEL_RXN:0000020,r_0024,2-isopropylmalate synthase,False,s_0232 + s_0373 + s_0803 --> s_0162 + s_0529 + s_0794,MNXR100879,R01213,sce00290|sce00620|sce01110|sce01210|sce01230,IPPS,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000021,r_0025,2-isopropylmalate synthase,False,s_0233 + s_0376 + s_0807 --> s_0164 + s_0532 + s_0799,MNXR100879,R01213,sce00290|sce00620|sce01110|sce01210|sce01230,IPPSm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000022,r_0026,2-keto-4-methylthiobutyrate transamination,False,s_0294 + s_0991 --> s_0180 + s_1029,MNXR95923,R07396,,,SBO:0000176,1 MNXM20@MNXD1 + 1 MNXM738804@MNXD1 = 1 MNXM276@MNXD1 + 1 MNXM741173@MNXD1,rheaR:25796,2.6.1.5;2.6.1.57;2.6.1.88,B,,has_external_crossref,
MODEL_RXN:0000023,r_0027,2-methylcitrate dehydratase,False,s_0834 <=> s_0454 + s_0807,MNXR141287,R03444,sce00300|sce01130|sce01210|sce01230,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000024,r_0028,2-methylcitrate synthase,False,s_0807 + s_1273 + s_1382 --> s_0174 + s_0532 + s_0799,MNXR101417,R00931,sce00020|sce00630|sce01110|sce01130|sce01200|sce01210|sce01230,MCITSm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000025,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,False,s_0010 + s_0794 --> s_0291 + s_0456,MNXR102180,R01652,sce00270|sce00280|sce00290|sce00770|sce01110|sce01130|sce01210|sce01230,OMCDC,SBO:0000176,1 MNXM13@MNXD1 + 1 MNXM404@MNXD1 = 1 MNXM1602@MNXD1 + 1 MNXM1@MNXD1,rheaR:25078,1.1.1.85,B,,has_external_crossref,
MODEL_RXN:0000026,r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,False,s_0011 + s_0799 --> s_0292 + s_0460,MNXR102180,R01652,sce00270|sce00280|sce00290|sce00770|sce01110|sce01130|sce01210|sce01230,OMCDCm,SBO:0000176,1 MNXM13@MNXD1 + 1 MNXM404@MNXD1 = 1 MNXM1602@MNXD1 + 1 MNXM1@MNXD1,rheaR:25078,1.1.1.85,B,,has_external_crossref,
MODEL_RXN:0000027,r_0032,"3',5'-bisphosphate nucleotidase",False,s_0390 + s_0803 --> s_0423 + s_1322,MNXR96321,R00188,sce00920|sce01130,BPNT,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000028,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",False,s_0192 + s_0803 --> s_0423 + s_0794,MNXR95886,R00191,sce00230,PDE1,SBO:0000176,1 MNXM1@MNXD1 + 1 MNXM728294@MNXD1 = 1 MNXM243@MNXD1 + 1 WATER@MNXD1,rheaR:25277,3.1.4.17;3.1.4.35;3.1.4.53;3.6.1.1,B,,has_external_crossref,
MODEL_RXN:0000029,r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",False,s_0194 + s_0803 --> s_0584 + s_0794,MNXR136084,,sce00230,PDE2,SBO:0000176,2 MNXM1@MNXD1 + 1 MNXM432@MNXD1 = 1 MNXM9931@MNXD1 + 1 WATER@MNXD1,seedR:rxn09561,3.1.4.17,B,,has_external_crossref,
MODEL_RXN:0000030,r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",False,s_0196 + s_0803 --> s_0794 + s_0849,MNXR136083,,sce00230,PDE3,SBO:0000176,1 MNXM1101868@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM9932@MNXD1 + 1 WATER@MNXD1,seedR:rxn09560,,B,,has_external_crossref,
MODEL_RXN:0000031,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",False,s_0195 + s_0803 --> s_0782 + s_0794,MNXR100078,R01234,sce00230,PDE4,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000032,r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",False,s_0193 + s_0803 --> s_0526 + s_0794,MNXR136082,,sce00230,PDE5,SBO:0000176,1 MNXM1103302@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM3162@MNXD1 + 1 WATER@MNXD1,seedR:rxn09559,,B,,has_external_crossref,
MODEL_RXN:0000033,r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",False,s_0577 --> s_0158 + s_0722 + s_0794,MNXR97178,R07281,sce00740|sce01110,DB4PS,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000034,r_0039,3-dehydroquinate dehydratase,False,s_0210 --> s_0211 + s_0803,MNXR97449,R03084,sce00400|sce01110|sce01130|sce01230,DHQTi,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000035,r_0040,3-dehydroquinate synthase,False,s_0349 --> s_0210 + s_1322,MNXR97447,R03083,sce00400|sce01110|sce01130|sce01230,DHQS,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000036,r_0041,3-dehydrosphinganine reductase,False,s_0231 + s_0795 + s_1213 --> s_1208 + s_1445,MNXR94866,R02978,sce00600,,SBO:0000176,1 MNXM1@MNXD1 + 1 MNXM559@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM733692@MNXD1,rheaR:22640,1.1.1.102,B,,has_external_crossref,
MODEL_RXN:0000037,r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,False,s_0551 + s_0803 + s_1360 --> s_0349 + s_1322,MNXR97218,R01826,sce00400|sce01110|sce01130|sce01230,DDPA,SBO:0000176,1 MNXM1219@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM258@MNXD1 + 1 MNXM73@MNXD1 + 1 WATER@MNXD1,rheaR:14717,2.5.1.54;2.5.1.55;4.1.2.15,B,,has_external_crossref,
MODEL_RXN:0000038,r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",False,s_0215 + 0.5 s_1275 --> s_0212,MNXR110601,R06865,,3OPHB5Hm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000039,r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,False,s_0214 + s_0799 --> s_0157 + s_0460,MNXR94901,R06866,,,SBO:0000176,1 MNXM13@MNXD1 + 1 MNXM4291@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM3166@MNXD1,rheaR:44768,4.1.1;4.1.1.-,B,,has_external_crossref,
MODEL_RXN:0000040,r_0045,3-hydroxy-L-kynurenine hydrolase,False,s_0222 + s_0803 --> s_0224 + s_0794 + s_0955,MNXR100656,R02668,sce00380,HKYNH,SBO:0000176,1 MNXM1105732@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM734792@MNXD1 = 1 MNXM728564@MNXD1 + 1 WATER@MNXD1,rheaR:25143,3.7.1.3,B,,has_external_crossref,
MODEL_RXN:0000041,r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),False,s_0054 + s_1202 --> s_0257 + s_0801 + s_1206,MNXR100547,R04739,,HACD6p,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000042,r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",False,s_0224 + s_1275 --> s_0147,MNXR94889,R02665,sce00380,3HAO,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000043,r_0059,3-isopropylmalate 3-methyltransferase,False,s_0009 + s_1416 --> s_0217 + s_1413,,,,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000044,r_0060,3-isopropylmalate dehydratase,False,s_0009 <=> s_0165 + s_0803,MNXR100827,R04001,sce00290|sce01110|sce01210|sce01230,IPPMIa,SBO:0000176,1 MNXM1706@MNXD1 + 1 WATER@MNXD1 = 1 MNXM741109@MNXD1,rheaR:10676,4.2.1.33,B,,has_external_crossref,
