route,step1_reaction,step1_entry,step1_origin,step1_family,step2_reaction,step2_entry,step2_origin,step2_family,mean_engineering_priority_score,route_risk_note
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,12.267691915576872,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.229834662897805,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.19283138415035,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.164653572688437,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,12.1510592348146,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,12.11506970366985,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,12.106440233051636,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,12.104669816732917,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,12.094317105741988,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,12.09005312406979,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,12.087589043449015,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,12.081423653451576,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,12.079653237132858,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,12.069300526141928,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,12.062572463848955,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,11.992740026195754,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,11.984110555577539,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,11.98234013925882,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,11.97198742826789,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,11.96525936597492,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.305890149545345,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.254973630878208,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.217970352130752,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.18979254066884,external hydroxylase requires heterologous expression and redox partner handling
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,11.176198202795,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14581,external_uniprot,preferred_omega_hydroxylase,11.006187140210644,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,10.997557669592428,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,10.995787253273711,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,10.985434542282782,external hydroxylase requires heterologous expression and redox partner handling
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q5TCH4,external_uniprot,preferred_omega_hydroxylase,10.978706479989809,external hydroxylase requires heterologous expression and redox partner handling
