split,rows,positive_rows,negative_rows,accuracy,precision,recall,f1,average_precision,confusion_matrix,roc_auc
train,3097,1584,1513,0.954472,0.928699,0.986742,0.956841,0.994593,"[[1393, 120], [21, 1563]]",0.994583
dev,352,159,193,0.931818,0.894737,0.962264,0.927273,0.987072,"[[175, 18], [6, 153]]",0.987519
test,396,216,180,0.944444,0.936937,0.962963,0.949772,0.984997,"[[166, 14], [8, 208]]",0.985854
