model_reaction_id,reaction_name,model_equation,rxndb_id,rxndb_ec_number,enzyme_ec_numbers,pu_reference_likeness_score
rxn2069,rxn2069,s_4317 + sn_174 --> s_0423 + s_0591 + s_0794,rxn2069,1.14.13.-;1.14.13.7,2.7.8.1|2.7.8.11|2.7.8.15|2.7.8.2|2.7.8.41|2.7.8.5|2.7.8.7|2.7.8.8|4.1.1.65,0.9973531384513731
rxn882,rxn882,s_0282 + s_1275 + sn_254 --> s_0066 + s_0456 + sn_14,rxn882,,1.14.11.-|1.14.11.27,0.99733514541546
rxn1988,rxn1988,s_0775 + sn_213 --> s_0056 + sn_330,rxn1988,2.1.1,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9973336609663187
rxn941,rxn941,s_0794 + s_1203 + s_4021 --> s_0991 + s_1198,rxn941,3.1.1.23,1.4.1.4,0.9973283542523614
rxn868,rxn868,s_0180 + s_1275 + s_4079 --> s_0456 + s_1014 + s_1458,rxn868,,1.14.11.-|1.14.11.27,0.9973208381217559
rxn1972,rxn1972,s_0025 + sn_73 --> s_1399 + s_3875,rxn1972,2.1.1,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9973117576888113
rxn2323,rxn2323,s_0434 + s_1293 + sn_188 --> s_0423 + s_0633 + s_3136,rxn2323,2.1.1,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9973038270638612
rxn469,rxn469,s_0335 + sn_249 --> s_0154 + s_0574,rxn469,,1.1.5.3,0.9972973688508091
rxn87,rxn87,s_0359 + sn_249 --> s_0154 + s_0680,rxn87,2.6.1.49,1.1.5.3,0.9972939992650083
rxn1485,rxn1485,s_0434 + s_0803 + s_4057 + s_4102 --> s_0394 + 2 s_0794 + s_1322 + s_4060 + s_4126,rxn1485,2.1.1,1.5.1.5|3.5.4.9|6.3.3.1|6.3.4.-|6.3.4.10|6.3.4.11|6.3.4.13|6.3.4.15|6.3.4.2|6.3.4.21|6.3.4.3|6.3.4.4|6.3.4.5|6.3.4.9|6.4.1.1,0.9972922039345896
rxn590,rxn590,s_0689 + sn_100 --> s_0687 + s_0794 + sn_112,rxn590,,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9972886521228859
rxn425,rxn425,s_1271 + s_3864 --> s_0066 + s_3965,rxn425,,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9972865102294994
rxn1991,rxn1991,s_0009 + s_0779 --> s_0010 + s_3997,rxn1991,2.1.1,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9972853450466914
