entry,gene_names,protein_names,ec_number,terminal_relevance
Q03529,SCS7 FAH1 YMR272C YM8156.14C,Ceramide very long chain fatty acid hydroxylase SCS7 (Ceramide VLCFA hydroxylase SCS7) (4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase SCS7) (EC 1.14.18.6) (Dihydroceramide fatty acyl 2-hydroxylase SCS7) (EC 1.14.18.7) (Sphingolipid alpha-hydroxylase) (Suppressor of calcium sensitivity 7),1.14.18.6; 1.14.18.7,possible_oxygenase_class_support
P21595,DIT2 CYP56 YDR402C D9509.20,Cytochrome P450-DIT2 (EC 1.14.14.-) (Cytochrome P450 56),1.14.14.-,possible_oxygenase_class_support
P23285,CPR2 CRG CYP2 SCC2 YHR057C,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Cyclophilin-related protein) (Rotamase B),5.2.1.8,possible_oxygenase_class_support
P25037,UBP1 YDL122W D2250,Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1),3.4.19.12,possible_thioesterase_class_support
P25334,CPR4 CYP4 SCC3 YCR069W YCR69W/YCR70W,Peptidyl-prolyl cis-trans isomerase CPR4 (PPIase CPR4) (EC 5.2.1.8) (Rotamase),5.2.1.8,possible_oxygenase_class_support
P35127,YUH1 YJR099W J1941,Ubiquitin carboxyl-terminal hydrolase YUH1 (UCH) (EC 3.4.19.12) (Ubiquitin thioesterase),3.4.19.12,possible_thioesterase_class_support
P35176,CPR5 CYP5 CYPD YDR304C D9740.14,Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (Cyclophilin D) (Cyclosporin-sensitive proline rotamase 5) (Rotamase D),5.2.1.8,possible_oxygenase_class_support
P38187,UBP13 YBL067C YBL0621,Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13),3.4.19.12,possible_thioesterase_class_support
P38866,FMO1 YHR176W,Thiol-specific monooxygenase (EC 1.14.13.-) (Flavin-dependent monooxygenase),1.14.13.-,possible_oxygenase_class_support
Q02770,CWC27 CYP7 YPL064C,Peptidyl-prolyl isomerase CWC27 (PPIase CWC27) (EC 5.2.1.8) (Complexed with CEF1 protein 27) (Rotamase CWC27),5.2.1.8,possible_oxygenase_class_support
Q12354,YLR118C L2955,Acyl-protein thioesterase 1 (EC 3.1.2.-) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),3.1.2.-; 3.1.2.22,possible_thioesterase_class_support
P36026,UBP11 YKR098C,Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11),3.4.19.12,possible_thioesterase_class_support
P38790,HTD2 RMD12 YHR067W,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial (EC 4.2.1.-) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase)",4.2.1.-,possible_thioesterase_class_support
P39944,UBP5 YER144C,Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5),3.4.19.12,possible_thioesterase_class_support
P39967,UBP9 YER098W,Ubiquitin carboxyl-terminal hydrolase 9 (EC 3.4.19.12) (Deubiquitinating enzyme 9) (Ubiquitin thioesterase 9) (Ubiquitin-specific-processing protease 9),3.4.19.12,possible_thioesterase_class_support
P47177,YJR149W J2213,Putative nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase),1.13.12.16,possible_oxygenase_class_support
P53728,CPR8 YNR028W N3255,Peptidyl-prolyl cis-trans isomerase CYP8 (PPIase CYP8) (EC 5.2.1.8) (Rotamase CYP8),5.2.1.8,possible_oxygenase_class_support
Q02863,UBP16 YPL072W LPF12W,Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16),3.4.19.12,possible_thioesterase_class_support
P38256,YBR096W YBR0824,Probable thioesterase YBR096W (EC 2.3.1.-),2.3.1.-,possible_thioesterase_class_support
