model_reaction_id,reaction_name,model_equation,label,label_name,model_split,lower_bound_num,upper_bound_num,enzyme_evidence_rows_num,reactant_count,product_count,stoich_metabolite_count,has_gpr,has_ec,has_formula_balance,has_charge_balance,text
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,s_0552 + s_0807 + s_1361 --> s_0350 + s_1326,1,curated_reference,train,0.0,1000.0,2,3,2,5,1,1,1,1,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase ; s_0552 + s_0807 + s_1361 --> s_0350 + s_1326 ; forward ; 2.5.1.54 ; YDR035W or YBR249C
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",s_0155 + s_1419 --> s_0156 + s_0799 + s_1415,1,curated_reference,train,0.0,1000.0,6,2,3,5,1,1,1,1,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase ; s_0155 + s_1419 --> s_0156 + s_0799 + s_1415 ; forward ; 1.14.13.-|1.14.99.60|2.1.1.114|2.1.1.201|2.1.1.64|3.5.-.- ; YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C"
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,s_0157 + s_1278 --> s_0155 + s_0807,1,curated_reference,train,0.0,1000.0,6,2,2,4,1,1,1,1,2-hexaprenyl-6-methoxyphenol monooxygenase ; s_0157 + s_1278 --> s_0155 + s_0807 ; forward ; 1.14.13.-|1.14.99.60|2.1.1.114|2.1.1.201|2.1.1.64|3.5.-.- ; YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
r_0023,2-isopropylmalate hydratase,s_0165 + s_0803 <=> s_0162,1,curated_reference,dev,-1000.0,1000.0,1,2,1,3,1,1,1,1,2-isopropylmalate hydratase ; s_0165 + s_0803 <=> s_0162 ; reversible ; 4.2.1.33 ; YGL009C
r_0024,2-isopropylmalate synthase,s_0232 + s_0373 + s_0803 --> s_0162 + s_0529 + s_0794,1,curated_reference,train,0.0,1000.0,2,3,3,6,1,1,1,1,2-isopropylmalate synthase ; s_0232 + s_0373 + s_0803 --> s_0162 + s_0529 + s_0794 ; forward ; 2.3.3.13 ; YNL104C or YOR108W
r_0025,2-isopropylmalate synthase,s_0233 + s_0376 + s_0807 --> s_0164 + s_0532 + s_0799,1,curated_reference,train,0.0,1000.0,1,3,3,6,1,1,1,1,2-isopropylmalate synthase ; s_0233 + s_0376 + s_0807 --> s_0164 + s_0532 + s_0799 ; forward ; 2.3.3.13 ; YNL104C
r_0026,2-keto-4-methylthiobutyrate transamination,s_0294 + s_0991 --> s_0180 + s_1029,1,curated_reference,train,0.0,1000.0,4,2,2,4,1,1,1,1,2-keto-4-methylthiobutyrate transamination ; s_0294 + s_0991 --> s_0180 + s_1029 ; forward ; 2.6.1.39|2.6.1.42|2.6.1.57|2.6.1.7 ; YHR208W or YJR148W or YGL202W or YHR137W
r_0027,2-methylcitrate dehydratase,s_0834 <=> s_0454 + s_0807,1,curated_reference,train,-1000.0,1000.0,1,1,2,3,1,1,1,1,2-methylcitrate dehydratase ; s_0834 <=> s_0454 + s_0807 ; reversible ; 4.2.1.36 ; YDR234W
r_0028,2-methylcitrate synthase,s_0807 + s_1273 + s_1382 --> s_0174 + s_0532 + s_0799,1,curated_reference,train,0.0,1000.0,1,3,3,6,1,1,1,1,2-methylcitrate synthase ; s_0807 + s_1273 + s_1382 --> s_0174 + s_0532 + s_0799 ; forward ; 2.3.3.1 ; YPR001W
r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,s_0010 + s_0794 --> s_0291 + s_0456,1,curated_reference,train,0.0,1000.0,0,2,2,4,0,0,1,1,2-oxo-4-methyl-3-carboxypentanoate decarboxylation ; s_0010 + s_0794 --> s_0291 + s_0456 ; forward ;  ; 
r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,s_0011 + s_0799 --> s_0292 + s_0460,1,curated_reference,train,0.0,1000.0,0,2,2,4,0,0,1,1,2-oxo-4-methyl-3-carboxypentanoate decarboxylation ; s_0011 + s_0799 --> s_0292 + s_0460 ; forward ;  ; 
r_0032,"3',5'-bisphosphate nucleotidase",s_0390 + s_0803 --> s_0423 + s_1322,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,"3',5'-bisphosphate nucleotidase ; s_0390 + s_0803 --> s_0423 + s_1322 ; forward ; 3.1.3.7 ; YOL064C"
r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",s_0192 + s_0803 --> s_0423 + s_0794,1,curated_reference,train,0.0,1000.0,2,2,2,4,1,1,1,1,"3',5'-cyclic-nucleotide phosphodiesterase ; s_0192 + s_0803 --> s_0423 + s_0794 ; forward ; 3.1.4.17|3.1.4.53 ; YGL248W or YOR360C"
r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",s_0194 + s_0803 --> s_0584 + s_0794,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,"3',5'-cyclic-nucleotide phosphodiesterase ; s_0194 + s_0803 --> s_0584 + s_0794 ; forward ; 3.1.4.53 ; YOR360C"
r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",s_0196 + s_0803 --> s_0794 + s_0849,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,"3',5'-cyclic-nucleotide phosphodiesterase ; s_0196 + s_0803 --> s_0794 + s_0849 ; forward ; 3.1.4.53 ; YOR360C"
r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",s_0195 + s_0803 --> s_0782 + s_0794,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,"3',5'-cyclic-nucleotide phosphodiesterase ; s_0195 + s_0803 --> s_0782 + s_0794 ; forward ; 3.1.4.53 ; YOR360C"
r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",s_0193 + s_0803 --> s_0526 + s_0794,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,"3',5'-cyclic-nucleotide phosphodiesterase ; s_0193 + s_0803 --> s_0526 + s_0794 ; forward ; 3.1.4.53 ; YOR360C"
r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",s_0577 --> s_0158 + s_0722 + s_0794,1,curated_reference,train,0.0,1000.0,1,1,3,4,1,1,1,1,"3,4-dihydroxy-2-butanone-4-phosphate synthase ; s_0577 --> s_0158 + s_0722 + s_0794 ; forward ; 4.1.99.12 ; YDR487C"
r_0039,3-dehydroquinate dehydratase,s_0210 --> s_0211 + s_0803,1,curated_reference,train,0.0,1000.0,1,1,2,3,1,1,1,1,3-dehydroquinate dehydratase ; s_0210 --> s_0211 + s_0803 ; forward ; 1.1.1.25|2.5.1.19|2.7.1.71|4.2.1.10|4.2.3.4 ; YDR127W
r_0040,3-dehydroquinate synthase,s_0349 --> s_0210 + s_1322,1,curated_reference,train,0.0,1000.0,1,1,2,3,1,1,1,1,3-dehydroquinate synthase ; s_0349 --> s_0210 + s_1322 ; forward ; 1.1.1.25|2.5.1.19|2.7.1.71|4.2.1.10|4.2.3.4 ; YDR127W
r_0041,3-dehydrosphinganine reductase,s_0231 + s_0795 + s_1213 --> s_1208 + s_1445,1,curated_reference,train,0.0,1000.0,1,3,2,5,1,1,1,1,3-dehydrosphinganine reductase ; s_0231 + s_0795 + s_1213 --> s_1208 + s_1445 ; forward ; 1.1.1.102 ; YBR265W
r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,s_0551 + s_0803 + s_1360 --> s_0349 + s_1322,1,curated_reference,train,0.0,1000.0,2,3,2,5,1,1,1,1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase ; s_0551 + s_0803 + s_1360 --> s_0349 + s_1322 ; forward ; 2.5.1.54 ; YBR249C or YDR035W
r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",s_0215 + 0.5 s_1275 --> s_0212,1,curated_reference,dev,0.0,1000.0,2,2,1,3,1,1,1,1,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase ; s_0215 + 0.5 s_1275 --> s_0212 ; forward ; 1.18.1.6 ; YPL252C or YDR376W"
r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,s_0214 + s_0799 --> s_0157 + s_0460,1,curated_reference,train,0.0,1000.0,2,2,2,4,1,1,1,1,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase ; s_0214 + s_0799 --> s_0157 + s_0460 ; forward ; 2.5.1.129|4.1.1.102 ; YDR538W and YDR539W
r_0045,3-hydroxy-L-kynurenine hydrolase,s_0222 + s_0803 --> s_0224 + s_0794 + s_0955,1,curated_reference,train,0.0,1000.0,1,2,3,5,1,1,1,1,3-hydroxy-L-kynurenine hydrolase ; s_0222 + s_0803 --> s_0224 + s_0794 + s_0955 ; forward ; 3.7.1.3 ; YLR231C
r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),s_0054 + s_1202 --> s_0257 + s_0801 + s_1206,1,curated_reference,train,0.0,1000.0,1,2,3,5,1,1,1,1,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA) ; s_0054 + s_1202 --> s_0257 + s_0801 + s_1206 ; forward ; 1.1.1.n12|4.2.1.119 ; YKR009C
r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",s_0224 + s_1275 --> s_0147,1,curated_reference,train,0.0,1000.0,1,2,1,3,1,1,1,1,"3-hydroxyanthranilate 3,4-dioxygenase ; s_0224 + s_1275 --> s_0147 ; forward ; 1.13.11.6 ; YJR025C"
r_0060,3-isopropylmalate dehydratase,s_0009 <=> s_0165 + s_0803,1,curated_reference,dev,-1000.0,1000.0,1,1,2,3,1,1,1,1,3-isopropylmalate dehydratase ; s_0009 <=> s_0165 + s_0803 ; reversible ; 4.2.1.33 ; YGL009C
r_0061,3-isopropylmalate dehydrogenase,s_0009 + s_1198 --> s_0010 + s_0794 + s_1203,1,curated_reference,train,0.0,1000.0,1,2,3,5,1,1,1,1,3-isopropylmalate dehydrogenase ; s_0009 + s_1198 --> s_0010 + s_0794 + s_1203 ; forward ; 1.1.1.85 ; YCL018W
r_0062,3-methyl-2-oxobutanoate decarboxylase,s_0232 + s_0794 --> s_0456 + s_0937,1,curated_reference,train,0.0,1000.0,3,2,2,4,1,1,1,1,3-methyl-2-oxobutanoate decarboxylase ; s_0232 + s_0794 --> s_0456 + s_0937 ; forward ; 4.1.1.-|4.1.1.43|4.1.1.72|4.1.1.74 ; YGR087C or YLR044C or YLR134W
r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,s_0233 + s_0307 + s_0807 --> s_0150 + s_1488,1,curated_reference,dev,0.0,1000.0,1,3,2,5,1,1,1,1,3-methyl-2-oxobutanoate hydroxymethyltransferase ; s_0233 + s_0307 + s_0807 --> s_0150 + s_1488 ; forward ; 2.1.2.11 ; YBR176W
r_0064,3-methyl-2-oxopentanoate decarboxylase,s_0056 + s_0794 --> s_0166 + s_0456,1,curated_reference,train,0.0,1000.0,4,2,2,4,1,1,1,1,3-methyl-2-oxopentanoate decarboxylase ; s_0056 + s_0794 --> s_0166 + s_0456 ; forward ; 4.1.1.-|4.1.1.43|4.1.1.72|4.1.1.74 ; YDL080C or YGR087C or YLR044C or YLR134W
r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,s_0261 + s_1360 --> s_0324 + s_1322,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,3-phosphoshikimate 1-carboxyvinyltransferase ; s_0261 + s_1360 --> s_0324 + s_1322 ; forward ; 1.1.1.25|2.5.1.19|2.7.1.71|4.2.1.10|4.2.3.4 ; YDR127W
r_0066,4-amino-4-deoxychorismate synthase,s_0515 + s_0999 --> s_0269 + s_0991,1,curated_reference,dev,0.0,1000.0,1,2,2,4,1,1,1,1,4-amino-4-deoxychorismate synthase ; s_0515 + s_0999 --> s_0269 + s_0991 ; forward ; 2.6.1.85 ; YNR033W
r_0067,4-aminobenzoate synthase,s_0269 --> s_0271 + s_0794 + s_1399,1,curated_reference,train,0.0,1000.0,1,1,3,4,1,1,1,1,4-aminobenzoate synthase ; s_0269 --> s_0271 + s_0794 + s_1399 ; forward ; 4.1.3.38 ; YMR289W
r_0068,4-aminobutyrate transaminase,s_0180 + s_0734 --> s_0991 + s_1461,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,4-aminobutyrate transaminase ; s_0180 + s_0734 --> s_0991 + s_1461 ; forward ; 2.6.1.19 ; YGR019W
r_0069,4-hydroxy-L-threonine synthase,s_0264 + s_0803 --> s_0285 + s_1322,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,4-hydroxy-L-threonine synthase ; s_0264 + s_0803 --> s_0285 + s_1322 ; forward ; 4.2.3.1 ; YCR053W
r_0070,4-hydroxybenzoate formation,s_0290 + s_0807 --> s_0287 + s_0532 + s_0799,1,curated_reference,dev,0.0,1000.0,0,2,3,5,0,0,1,1,4-hydroxybenzoate formation ; s_0290 + s_0807 --> s_0287 + s_0532 + s_0799 ; forward ;  ; 
r_0072,4-methyl-2-oxopentanoate decarboxylase,s_0291 + s_0794 --> s_0234 + s_0456,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,4-methyl-2-oxopentanoate decarboxylase ; s_0291 + s_0794 --> s_0234 + s_0456 ; forward ; 4.1.1.72 ; YDL080C
r_0073,4PP-IP5 depyrophosphorylation to IP6,s_0279 + s_0803 --> s_0794 + s_1158 + s_1322,1,curated_reference,dev,0.0,1000.0,2,2,3,5,1,1,1,1,4PP-IP5 depyrophosphorylation to IP6 ; s_0279 + s_0803 --> s_0794 + s_1158 + s_1322 ; forward ; 2.7.4.24|3.6.1.10|3.6.1.52|3.6.1.60 ; YLR410W or YOR163W
r_0075,5'-methylthioadenosine phosphorylase,s_0303 + s_1322 --> s_0383 + s_1422,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,5'-methylthioadenosine phosphorylase ; s_0303 + s_1322 --> s_0383 + s_1422 ; forward ; 2.4.2.28 ; YLR017W
r_0076,5'-nucleotidase (CMP),s_0526 + s_0803 --> s_0543 + s_1322,1,curated_reference,train,0.0,1000.0,2,2,2,4,1,0,1,1,5'-nucleotidase (CMP) ; s_0526 + s_0803 --> s_0543 + s_1322 ; forward ;  ; YER037W or YGL224C
r_0077,5'-nucleotidase (IMP),s_0803 + s_0849 --> s_0856 + s_1322,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,5'-nucleotidase (IMP) ; s_0803 + s_0849 --> s_0856 + s_1322 ; forward ; 3.1.3.99 ; YOR155C
r_0078,5'-nucleotidase (UMP),s_0803 + s_1545 --> s_1322 + s_1556,1,curated_reference,train,0.0,1000.0,2,2,2,4,1,0,1,1,5'-nucleotidase (UMP) ; s_0803 + s_1545 --> s_1322 + s_1556 ; forward ;  ; YER037W or YGL224C
r_0079,5'-phosphoribosylformyl glycinamidine synthetase,s_0301 + s_0434 + s_0803 + s_0999 --> s_0302 + s_0394 + s_0794 + s_0991 + s_1322,1,curated_reference,train,0.0,1000.0,1,4,5,9,1,1,1,1,5'-phosphoribosylformyl glycinamidine synthetase ; s_0301 + s_0434 + s_0803 + s_0999 --> s_0302 + s_0394 + s_0794 + s_0991 + s_1322 ; forward ; 6.3.5.3 ; YGR061C
r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",s_0306 + s_0794 + s_1212 --> s_0322 + s_1207,1,curated_reference,train,0.0,1000.0,2,3,2,5,1,1,1,1,"5,10-methylenetetrahydrofolate reductase (NADPH) ; s_0306 + s_0794 + s_1212 --> s_0322 + s_1207 ; forward ; 1.5.1.20|1.5.1.53 ; YGL125W or YPL023C"
r_0081,5-aminolevulinate synthase,s_0799 + s_1005 + s_1464 --> s_0317 + s_0460 + s_0532,1,curated_reference,train,0.0,1000.0,1,3,3,6,1,1,1,1,5-aminolevulinate synthase ; s_0799 + s_1005 + s_1464 --> s_0317 + s_0460 + s_0532 ; forward ; 2.3.1.37 ; YDR232W
r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",s_0318 + s_0803 --> s_0794 + s_1158 + s_1322,1,curated_reference,train,0.0,1000.0,1,2,3,5,1,1,1,1,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase ; s_0318 + s_0803 --> s_0794 + s_1158 + s_1322 ; forward ; 3.6.1.10|3.6.1.52|3.6.1.60 ; YOR163W"
r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",s_0434 + s_1158 --> s_0318 + s_0394,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase ; s_0434 + s_1158 --> s_0318 + s_0394 ; forward ; 2.7.4.21 ; YDR017C"
r_0084,5-formethyltetrahydrofolate cyclo-ligase,s_0319 + s_0434 --> s_0304 + s_0394 + s_1322,1,curated_reference,train,0.0,1000.0,1,2,3,5,1,1,1,1,5-formethyltetrahydrofolate cyclo-ligase ; s_0319 + s_0434 --> s_0304 + s_0394 + s_1322 ; forward ; 6.3.3.2 ; YER183C
r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,s_0323 + s_1012 --> s_1029 + s_1486,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase ; s_0323 + s_1012 --> s_1029 + s_1486 ; forward ; 2.1.1.14 ; YER091C
r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,s_1423 --> s_0311 + s_0803,1,curated_reference,train,0.0,1000.0,1,1,2,3,1,1,1,1,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase ; s_1423 --> s_0311 + s_0803 ; forward ; 4.2.1.109 ; YJR024C
r_0087,5-methylthioribose-1-phosphate isomerase,s_1422 <=> s_1423,1,curated_reference,test,-1000.0,1000.0,1,1,1,2,1,1,1,1,5-methylthioribose-1-phosphate isomerase ; s_1422 <=> s_1423 ; reversible ; 5.3.1.23 ; YPR118W
