reaction_uid,model_reaction_id,reaction_name,model_equation,direction,lower_bound,upper_bound,reactant_compound_uids,product_compound_uids,stoichiometry_json,genes,orfs,gpr,enzyme_evidence_rows,enzyme_protein_ids,enzyme_orfs,enzyme_gene_symbols,enzyme_ec_numbers,enzyme_confidence_levels,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,external_database_crossrefs_compact,all_crossrefs_compact,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,export_group,label_source,usable_as_first_pass_training_label
MODEL_RXN:0007492,rxnu45,rxnu45,snu_43 --> snu_45,forward,0.0,1000.0,MODEL_CMPD:0003261,MODEL_CMPD:0003262,"{""snu_43"": -1, ""snu_45"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007493,rxnu48,rxnu48,snu_46 --> snu_48,forward,0.0,1000.0,MODEL_CMPD:0003263,MODEL_CMPD:0003264,"{""snu_46"": -1, ""snu_48"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007494,rxnu51,rxnu51,snu_49 --> snu_51,forward,0.0,1000.0,MODEL_CMPD:0003265,MODEL_CMPD:0003266,"{""snu_49"": -1, ""snu_51"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007495,rxnu54,rxnu54,snu_52 --> snu_54,forward,0.0,1000.0,MODEL_CMPD:0003267,MODEL_CMPD:0003268,"{""snu_52"": -1, ""snu_54"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007496,rxnu57,rxnu57,snu_55 --> snu_57,forward,0.0,1000.0,MODEL_CMPD:0003269,MODEL_CMPD:0003270,"{""snu_55"": -1, ""snu_57"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007497,rxnu6,rxnu6,snu_4 --> snu_6,forward,0.0,1000.0,MODEL_CMPD:0003258,MODEL_CMPD:0003272,"{""snu_4"": -1, ""snu_6"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007498,rxnu60,rxnu60,snu_58 --> snu_60,forward,0.0,1000.0,MODEL_CMPD:0003271,MODEL_CMPD:0003273,"{""snu_58"": -1, ""snu_60"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007499,rxnu63,rxnu63,snu_61 --> snu_63,forward,0.0,1000.0,MODEL_CMPD:0003274,MODEL_CMPD:0003275,"{""snu_61"": -1, ""snu_63"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007500,rxnu66,rxnu66,snu_64 --> snu_66,forward,0.0,1000.0,MODEL_CMPD:0003276,MODEL_CMPD:0003277,"{""snu_64"": -1, ""snu_66"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007501,rxnu69,rxnu69,snu_67 --> snu_69,forward,0.0,1000.0,MODEL_CMPD:0003278,MODEL_CMPD:0003279,"{""snu_67"": -1, ""snu_69"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007502,rxnu72,rxnu72,snu_70 --> snu_72,forward,0.0,1000.0,MODEL_CMPD:0003281,MODEL_CMPD:0003282,"{""snu_70"": -1, ""snu_72"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
