model_metabolite_id,primary_name,formula,charge,structure,structure_status,reason_code,status,source,review
s_0999,L-glutamine,C5H10N2O3,0,NC(=O)CCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1000,L-glutamine,C5H10N2O3,0,NC(=O)CCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1001,L-glutamine,C5H10N2O3,0,NC(=O)CCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1002,L-glutamine,C5H10N2O3,0,NC(=O)CCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1003,L-glycine,C2H5NO2,0,NCC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1004,L-glycine,C2H5NO2,0,NCC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1005,L-glycine,C2H5NO2,0,NCC(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1006,L-histidine,C6H9N3O2,0,NC(Cc1cnc[nH]1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1007,L-histidine,C6H9N3O2,0,NC(Cc1cnc[nH]1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1008,L-histidine,C6H9N3O2,0,NC(Cc1cnc[nH]1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1009,L-histidine,C6H9N3O2,0,NC(Cc1cnc[nH]1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1010,L-histidinol,C6H12N3O,1,NC(CO)Cc1cnc[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1011,L-histidinol phosphate,C6H11N3O4P,-1,NC(COP(=O)(O)O)Cc1cnc[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1012,L-homocysteine,C4H9NO2S,0,NC(CCS)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1014,L-homoserine,C4H9NO3,0,NC(CCO)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1015,L-homoserine,C4H9NO3,0,NC(CCO)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1016,L-isoleucine,C6H13NO2,0,CCC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1017,L-isoleucine,C6H13NO2,0,CCC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1018,L-isoleucine,C6H13NO2,0,CCC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1019,L-isoleucine,C6H13NO2,0,CCC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1020,L-kynurenine,C10H12N2O3,0,Nc1ccccc1C(=O)CC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1021,L-leucine,C6H13NO2,0,CC(C)CC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1022,L-leucine,C6H13NO2,0,CC(C)CC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1023,L-leucine,C6H13NO2,0,CC(C)CC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
