model_reaction_id,reaction_name,mass_balance_status,charge_balance_status,missing_formula_status,structure_parse_status,external_mapping_status,manual_review_status,missing_formula_metabolites,unparsable_formula_metabolites
r_1673,carnitine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1674,carnitine-acetylcarnitine carrier,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1675,CDP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1676,ceramide transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1677,ceramide transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1678,ceramide transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1679,ceramide transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1680,ceramide transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1681,ceramide transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1682,"cholestenol delta-isomerase, lumped reaction",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1683,choline exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1684,choline transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1685,chorismate pyruvate lyase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1686,citrate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1687,citrate exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1688,citrate/isocitrate antiport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1689,citrate/malate antiport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1690,CMP nucleosidase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1691,CO2 transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1694,CO2 transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1695,CO2 transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1696,CO2 transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1697,CO2 transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1698,coenzyme A transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1699,coenzyme A transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1700,coenzyme A transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1702,cytidine exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1703,cytidylate kinase (CMP),balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1704,cytidylate kinase (dCMP),balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1705,cytosine exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1706,D-arabinose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1707,D-arabinose transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1708,D-erythrose 4-phosphate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1709,D-fructose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1710,D-galactose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1711,D-galacturonate exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1712,D-glucitol exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1713,D-glucosamine 6-phosphate uniport,balanced,balanced,absent,not_applicable,not_required,not_required,,
